name,credit,class,for,totalstudent,day,shift,at,lectures
Lý thuyết Galois,4,MAT3347 1,Toán học,,5,4-5,205-T5,Võ Thị Như Quỳnh
Lý thuyết Galois,4,MAT3347 1,Toán học,,6,4-5,407-T5,Võ Thị Như Quỳnh
Thống kê ứng dụng ,4,MAT2311 2,Toán học,,3,6-8,206-T5,Phạm Đình Tùng
Thống kê ứng dụng,4,MAT2311 3,Toán học,,6,4-5,205-T5,Phạm Đình Tùng
Cơ sở hình học vi phân,3,MAT3306,Toán học,,2,3-5,306-T5,Nguyễn Minh Hoàng
Lý thuyết Galois,4,MAT3347 2,Toán học,,2,6-7,413-T5,Phạm Văn Tuấn
Lý thuyết Galois,4,MAT3347 2,Toán học,,4,1-2,404-T5,Phạm Văn Tuấn
Giải tích trên đa tạp,3,MAT3318,Toán học,,5,3-5,413-T5,Nguyễn Thạc Dũng
Xác suất 2,3,MAT3322,Toán học,,4,3-5,309-T5,Tạ Công Sơn
Xemina 1,2,MAT3363,Toán học,,6,1-3,304-T5,Lê Huy Hoàng
Hệ động lực,3,MAT3101,Toán học,,5,6-8,107-T5,Lê Huy Tiễn
Cơ sở văn hóa Việt Nam,3,Môn chung,KHDL,,,,#N/A,
Khoa học trái đất và sự sống,3,Môn chung,KHDL,,,,#N/A,
Nhập môn Robotics,3,Môn chung,KHDL,,,,#N/A,
Phương trình vi phân,3,MAT2403 1,KHDL,,2,1-2,209-T5,Nguyễn Thụy Trung
Phương trình vi phân,3,MAT2403 1,KHDL,,3,4-5,201-T5,Lê Bá Dũng
Cấu trúc dữ liệu và thuật toán,4,"MAT3514 1,2,3",KHDL,,6,6-8,203-T5,Nguyễn Thị Tâm
Cấu trúc dữ liệu và thuật toán,4,MAT3514 1,KHDL,20,2,6-10,PM,BMTH
Cấu trúc dữ liệu và thuật toán,4,MAT3514 2,KHDL,20,2,6-10,PM,BMTH
Cấu trúc dữ liệu và thuật toán,4,MAT3514 3,KHDL,20,2,6-10,PM,BMTH
Phân tích hồi quy và ứng dụng,3,"MAT3379 1,2",KHDL,,2,4-5,203-T5,Trịnh Quốc Anh
Phân tích hồi quy và ứng dụng,3,MAT3379 1,KHDL,30,4,1-5,PM,Trịnh Quốc Anh
